row_id,Country_Code,Country_Name,Date,Year ,Methane (CH4),Carbon dioxide (CO2),Greenhouse Gas (GHGs),Hydrofluorocarbons (HFCs),Nitrous oxide (N2O),Perfluorocarbons (FFCs),Sulfar hexafluoride (SF6),Population
61,3,Great Britain,12/31/1993,1993,158319,510200,710581,0,41918.6,143.566,0.0591464,57718600
62,3,Great Britain,12/31/1994,1994,148884,419266,604308,0,35995.9,161.222,0.0648703,57865700
63,3,Great Britain,12/31/1995,1995,138649,389865,561511,0,32819.6,178.06,0.0677322,58019000
64,3,Great Britain,12/31/1996,1996,134676,351409,514681,0,28453.1,143.243,0.0696402,58167000
65,3,Great Britain,12/31/1997,1997,129384,340243,498995,6.4309,29215.5,146.993,0.127833,58317000
66,3,Great Britain,12/31/1998,1998,125666,328579,480322,13.0193,25943.1,120.644,0.193657,58487100
67,3,Great Britain,12/31/1999,1999,126924,298204,449025,14.1425,23781,101.811,0.30718,58682500
68,3,Great Britain,12/31/2000,2000,117953,285337,427203,15.7316,23781.1,115.738,0.420512,58892500
69,3,Great Britain,12/31/2001,2001,116502,303559,445295,29.018,25092.8,112.08,0.463155,59119700
70,3,Great Britain,12/31/2002,2002,109053,295674,430433,64.2411,25542.8,98.6552,1.0695,59370500
71,3,Great Britain,12/31/2003,2003,109680,307017,439724,105.179,22842,77.1526,1.99123,59647600
72,3,Great Britain,12/31/2004,2004,106529,310363,442499,187.231,25322.9,93.3364,3.078,59987900
73,3,Great Britain,12/31/2005,2005,102446,313118,441635,285.056,25639.2,142.332,4.46708,60401200
74,3,Great Britain,12/31/2006,2006,100088,332670,459267,402.25,25990.8,111.159,4.274,60846800
75,3,Great Britain,12/31/2007,2007,99906.9,336364,462602,561.097,25610,154.712,5.19821,61322500
76,3,Great Britain,12/31/2008,2008,93232.2,325533,450385,647.211,30788.8,174.24,9.33808,61807000
77,3,Great Britain,12/31/2009,2009,85161.6,277294,389970,663.738,26788.1,53.9495,9.36565,62276300
78,3,Great Britain,12/31/2010,2010,84567.8,294078,406799,743.834,27372.8,26.6673,9.71003,62766400
79,3,Great Britain,12/31/2011,2011,86010.2,307953,428126,819.972,33334.2,0,8.41406,63258800
80,3,Great Britain,12/31/2012,2012,80482.4,303953,417170,840.735,31882.7,0,10.9896,63700200
81,3,Great Britain,12/31/2013,2013,75185.5,297294,408768,881.217,35395,0,12.5431,64128300
82,3,Great Britain,12/31/2014,2014,68759,257585,362502,847.825,35294.2,0,16.7257,64602300
83,3,Great Britain,12/31/2015,2015,61235.9,223912,318939,775.288,32996.2,0,19.6421,65116200
84,3,Great Britain,12/31/2016,2016,65994,234200,337397,887.3,36291.4,0,24.3123,65611600
85,3,Great Britain,12/31/2017,2017,63653.7,223232,322779,1009.48,34854.9,0,28.4613,66058900
86,3,Great Britain,12/31/2018,2018,67519.9,231694,339244,1349.26,38647.6,0,33.2909,66460300
87,4,Japan,12/31/1990,1990,48247.5,438009,516052,444,26036.2,2906.85,408.351,123537000
88,4,Japan,12/31/1991,1991,49126.5,437539,517107,449.297,27051.9,2509.91,430.796,123921000
89,4,Japan,12/31/1992,1992,48977,437830,516117,471.905,26587.1,1818.77,432.632,124229000
90,4,Japan,12/31/1993,1993,49283.5,430180,509105,494.099,27031,1672.06,444.286,124536000
91,4,Japan,12/31/1994,1994,49708.6,424582,503369,664.065,26503.9,1422.7,487.521,124961000
92,4,Japan,12/31/1995,1995,50325.8,448333,529436,926.653,27578.5,1492.31,679.72,125439000
93,4,Japan,12/31/1996,1996,50816.8,442277,523538,668.402,27694.6,1234.58,761.722,125757000
94,4,Japan,12/31/1997,1997,51363.9,448045,531260,1004.13,28675.8,1281.12,813.389,126057000
95,4,Japan,12/31/1998,1998,50880.5,460049,543481,1525.62,28951.2,1329.37,688.557,126400000
96,4,Japan,12/31/1999,1999,50854,464548,548740,1988.73,29508.3,1327.6,463.549,126631000
97,4,Japan,12/31/2000,2000,50766.1,468442,552474,2489.03,28648.2,1488.5,604.313,126843000
98,4,Japan,12/31/2001,2001,50868.6,468643,554030,3284.18,28842.9,1502.53,852.716,127149000
99,4,Japan,12/31/2002,2002,49240.1,476251,560214,4209.04,28230.2,1491.23,740.721,127445000
100,4,Japan,12/31/2003,2003,49446.2,494183,579418,5224.37,28081.3,1882.18,549.893,127718000
101,4,Japan,12/31/2004,2004,47828.7,499619,585376,6458.34,28882,1950.88,584.546,127761000
102,4,Japan,12/31/2005,2005,48328.3,500006,586530,7616.97,28032.2,1939.95,550,127773000
103,4,Japan,12/31/2006,2006,47064.8,495124,576603,8739.71,23123.4,1935.14,570.292,127854000
104,4,Japan,12/31/2007,2007,47763.5,487693,569690,9452.06,22407.6,1886.2,452.664,128001000
105,4,Japan,12/31/2008,2008,47327.8,476230,557102,10389.7,20904.3,1712.39,495.921,128063000
106,4,Japan,12/31/2009,2009,47292.4,422624,502604,11203.3,19755.6,1215.36,472.033,128047000
107,4,Japan,12/31/2010,2010,46980,433688,513756,12052.9,19078.1,1520.39,393.788,128070000
108,4,Japan,12/31/2011,2011,45569.4,422039,501288,12968.9,18556.8,1661.28,441.363,127833000
109,4,Japan,12/31/2012,2012,46168.2,401555,482362,13596.1,19049.9,1499.21,445.606,127629000
110,4,Japan,12/31/2013,2013,44770.8,367569,447073,14267.8,18289.5,1705.41,421.884,127445000
111,4,Japan,12/31/2014,2014,43904.7,347861,426492,14917.8,17833.8,1564.34,359.158,127276000
112,4,Japan,12/31/2015,2015,43883.6,360088,439432,15388.8,17859.3,1688.33,472.245,127141000
113,4,Japan,12/31/2016,2016,43399.3,356556,436088,15963.4,18099.5,1613.72,399.415,126995000
114,4,Japan,12/31/2017,2017,43658,351474,431324,16407.9,18007,1313.68,417.494,126786000
115,4,Japan,12/31/2018,2018,43032.6,348085,427529,16569.7,17694.9,1657.27,446.426,126529000
116,5,New Zealand,12/31/1990,1990,31847.2,162385,220741,5606.33,18032.7,2662.85,206.705,3329800
117,5,New Zealand,12/31/1991,1991,32252.8,170796,228386,4366.07,18205,2639.59,125.719,3495100
118,5,New Zealand,12/31/1992,1992,31864.1,170630,229111,5621.29,18458.3,2402.66,134.041,3531700
119,5,New Zealand,12/31/1993,1993,31434,170818,229868,6311.62,18731.8,2432.35,140.243,3572200
120,5,New Zealand,12/31/1994,1994,30418.9,171401,230751,8159.23,18250.8,2340.79,179.459,3620000
121,5,New Zealand,12/31/1995,1995,29699.1,172966,230938,7570.52,18161.1,2279.92,260.969,3673400
122,5,New Zealand,12/31/1996,1996,29009.2,182148,241764,9593.31,18206.1,2535.61,271.024,3732000
123,5,New Zealand,12/31/1997,1997,27378.2,175020,233603,10198.5,17942.9,2764.94,299.045,3781300
124,5,New Zealand,12/31/1998,1998,26641.4,176137,234161,11568.7,17363.1,2174.66,276.45,3815000
125,5,New Zealand,12/31/1999,1999,25382.9,170727,220828,6012.71,16673.2,1766.14,266.213,3835100
126,5,New Zealand,12/31/2000,2000,24279.5,171887,219239,4765.18,16145.4,1902.81,258.78,3857700
127,5,New Zealand,12/31/2001,2001,23617,176799,219714,2069.61,15162.2,1791.82,274.9,3880500
128,5,New Zealand,12/31/2002,2002,22488.9,176113,217609,1813.01,14355.6,2613.01,224.968,3948500
129,5,New Zealand,12/31/2003,2003,21715,179565,218291,1817.13,14232.2,764.435,197.471,4027200
130,5,New Zealand,12/31/2004,2004,21331.7,181382,219894,1911.12,14679.3,370.479,219.45,4087500
131,5,New Zealand,12/31/2005,2005,19874.6,177459,214227,1734.16,14589.1,365.985,203.718,4133900
132,5,New Zealand,12/31/2006,2006,19432.7,172687,209177,1990.38,14546,351.241,169.769,4184600
133,5,New Zealand,12/31/2007,2007,19481.7,172587,207677,2130.62,12893.9,426.889,156.499,4223800
134,5,New Zealand,12/31/2008,2008,19709.6,175482,207040,2242.7,9121.79,328.268,156.454,4259800
135,5,New Zealand,12/31/2009,2009,19489.1,170168,201382,2350.18,8921.11,308.383,145.578,4302600
136,5,New Zealand,12/31/2010,2010,19406,182118,213281,2660.91,8628.94,313.772,153.786,4350700
137,5,New Zealand,12/31/2011,2011,18859.4,169066,199175,2435.95,8413.97,275.195,125.172,4384000
138,5,New Zealand,12/31/2012,2012,18438.4,165827,195272,2395.19,8250.49,188.448,172.505,4408100
139,5,New Zealand,12/31/2013,2013,18425.6,165718,194878,2040.65,8430.42,143.757,119.86,4442100
140,5,New Zealand,12/31/2014,2014,18008.3,158768,187185,1622.99,8558.25,93.2103,133.859,4509700
141,5,New Zealand,12/31/2015,2015,18202.6,166367,195422,1801.17,8808.21,104.22,139.49,4595700
142,5,New Zealand,12/31/2016,2016,18329,166282,194992,1617.76,8476.75,151.812,134.155,4693200
143,5,New Zealand,12/31/2017,2017,18012.2,164445,192876,1558.45,8657.64,77.0286,126.38,4793900
144,5,New Zealand,12/31/2018,2018,17308.8,160170,187756,1641.65,8349.12,163.009,123.69,4841000
145,6,Russia,12/31/1990,1990,60017.6,169286,247994,0.181193,15881.7,2808.43,0.47496,147969000
146,6,Russia,12/31/1991,1991,51333.4,139370,204473,0.286688,11191.2,2577.81,0.520515,148394000
147,6,Russia,12/31/1992,1992,47197.4,131072,191274,0.445935,11208.8,1794.74,0.485631,148538000
148,6,Russia,12/31/1993,1993,45511.6,122832,182090,0.757235,11874,1870.78,0.521062,148459000
149,6,Russia,12/31/1994,1994,45139.8,121961,180133,1.27403,11050.8,1979.03,0.736887,148408000
150,6,Russia,12/31/1995,1995,46097.9,127033,187228,2.657,11739.3,2354.07,0.976196,148376000
151,6,Russia,12/31/1996,1996,45916.2,130096,189592,4.90975,11225.9,2347.88,1.54056,148160000
152,6,Russia,12/31/1997,1997,49814.8,121075,184140,10.619,10897.3,2341.19,1.40871,147915000
153,6,Russia,12/31/1998,1998,47293.7,107562,166853,24.2492,9685.8,2285.99,1.51448,147671000
154,6,Russia,12/31/1999,1999,45866.4,90778.2,147900,40.2576,9130.75,2082.71,1.70496,147215000
155,6,Russia,12/31/2000,2000,36329.5,95455.8,143154,71.4846,9614.32,1674.72,8.68393,146597000
156,6,Russia,12/31/2001,2001,34866.6,100357,146187,113.712,9468.32,1367.16,14.3329,145976000
157,6,Russia,12/31/2002,2002,37265.1,101735,148898,169.405,8730.49,985.464,12.097,145306000
158,6,Russia,12/31/2003,2003,38508.7,105295,153780,230.428,9430.4,304.539,10.5432,144649000
159,6,Russia,12/31/2004,2004,37110.2,104270,152552,296.1,10707.9,153.86,14.0973,144067000
160,6,Russia,12/31/2005,2005,37662,102694,151387,371.174,10548.5,95.2794,15.6678,143519000
161,6,Russia,12/31/2006,2006,37055.5,105083,152111,486.45,9397.83,64.0591,24.1305,143050000
162,6,Russia,12/31/2007,2007,36108.5,108440,154670,667.402,9395.92,28.1817,29.8796,142805000
163,6,Russia,12/31/2008,2008,35183.2,105535,149918,948.833,8199.8,17.8685,33.8055,142742000
164,6,Russia,12/31/2009,2009,33462.1,86024.1,128031,926.382,7563.47,8.1569,47.0277,142785000
165,6,Russia,12/31/2010,2010,31036.7,84289.7,124173,984.407,7792.69,9.13219,60.6874,142849000
166,6,Russia,12/31/2011,2011,30199,89518.2,129010,1094.05,8138.51,12.7156,47.8244,142961000
167,6,Russia,12/31/2012,2012,30694.1,86255.7,125639,1199.2,7431.57,7.4276,50.7485,143202000
168,6,Russia,12/31/2013,2013,30158.6,76875.9,116001,1300.31,7602.83,6.149,57.207,143507000
169,6,Russia,12/31/2014,2014,30026.7,77432.4,116215,1374.93,7322.68,6.3449,51.7759,143820000
170,6,Russia,12/31/2015,2015,29544.3,77725.6,116419,1639.28,7450.66,6.5666,52.2068,144097000
171,6,Russia,12/31/2016,2016,29011.8,75812.8,114288,1895.41,7512.6,5.44222,49.7993,144342000
172,6,Russia,12/31/2017,2017,28706.5,78077.5,116875,2179.09,7852.58,5.5808,54.1875,144497000
173,6,Russia,12/31/2018,2018,28183.6,76951.2,116115,2295.11,8618.21,4.97031,61.9825,144478000
174,7,Spain,12/31/1990,1990,6044.12,44154.4,53778.9,0.0247812,3326.81,116.515,137.006,38867300
175,7,Spain,12/31/1991,1991,5973.04,46133.8,55658.5,1.50874,3312.4,98.5051,139.206,38966400
176,7,Spain,12/31/1992,1992,5890.17,46009.7,55396.1,15.5519,3258.71,80.6073,141.393,39157700
177,7,Spain,12/31/1993,1993,5780.85,43601,52921.3,32.538,3351.65,34.695,120.535,39361300
178,7,Spain,12/31/1994,1994,5729.92,42675.9,51914.2,80.1656,3300.5,20.8639,106.887,39549100
179,7,Spain,12/31/1995,1995,5729.32,43412.8,52829.7,243.757,3333.12,17.4821,93.2343,39724000
180,7,Spain,12/31/1996,1996,5668.31,44098.8,53432.4,295.943,3258.8,20.4072,90.0722,39889900
181,7,Spain,12/31/1997,1997,5519.48,43037.3,52303.1,360.312,3240.39,20.9618,124.661,40057400
182,7,Spain,12/31/1998,1998,5448.4,44614.8,53869,456.057,3173.38,23.5733,152.819,40223500
183,7,Spain,12/31/1999,1999,5362.23,44445.8,53658.5,533.349,3144.79,32.1333,140.12,40386900
184,7,Spain,12/31/2000,2000,5306.61,43617.6,53080.7,635.959,3307.49,60.9219,152.119,40567900
185,7,Spain,12/31/2001,2001,5347.72,45082.4,54601.1,735.875,3247.34,36.7163,151.024,40850400
186,7,Spain,12/31/2002,2002,5303.14,43467.6,53068.4,826.578,3274.36,35.8554,160.856,41431600
187,7,Spain,12/31/2003,2003,5222.95,44651.9,54095.8,910.312,3077.79,66.7918,166.035,42187600
188,7,Spain,12/31/2004,2004,5188.63,45236.4,54698.1,1009.62,3004.85,68.9313,189.66,42921900
189,7,Spain,12/31/2005,2005,5203.77,45788.2,55414.4,1047.96,3116.87,50.254,207.317,43653200
190,7,Spain,12/31/2006,2006,5220.26,45373.7,55022.4,1159.59,3009.67,62.2703,196.935,44397300
191,7,Spain,12/31/2007,2007,5202.42,43368.4,53159.3,1252.75,3105.14,52.3957,178.267,45226800
192,7,Spain,12/31/2008,2008,5272.99,44714.3,54524.8,1274.66,2979.06,44.6332,239.048,45954100
193,7,Spain,12/31/2009,2009,5180.89,43534.7,53082.1,1272.06,2868.55,35.3749,182.874,46362900
194,7,Spain,12/31/2010,2010,5154.27,45049.6,54726.7,1308.25,3012.86,37.7957,151.31,46576900
195,7,Spain,12/31/2011,2011,5099.15,40985.5,50615.8,1380.05,2941.79,36.0616,163.935,46742700
196,7,Spain,12/31/2012,2012,5070.77,42254.7,52037.4,1453.07,3001.28,38.787,218.241,46773100
197,7,Spain,12/31/2013,2013,5006.73,43185.8,52816.5,1432.16,2901.27,27.7505,262.605,46620000
198,7,Spain,12/31/2014,2014,5003.62,39234.4,48877.4,1468.95,2881.23,22.5453,266.001,46480900
199,7,Spain,12/31/2015,2015,4974.09,38733.2,48412.5,1507.52,2910.24,25.5483,261.179,46444800
200,7,Spain,12/31/2016,2016,4930.19,39192.6,48725.3,1480.46,2889,19.5229,212.768,46484100
201,7,Spain,12/31/2017,2017,4868.49,38182.3,47873.2,1504.25,3082.52,31.9997,202.854,46593200
202,7,Spain,12/31/2018,2018,4839.99,36895.5,46332.5,1524.05,2879.65,35.6393,157.199,46797800
203,8,Switzerland,12/31/1990,1990,7418.85,57348.8,71184.9,6.48744,5740.26,568.778,101.729,6715520
204,8,Switzerland,12/31/1991,1991,7415.06,57707.2,71428.1,11.1415,5618.14,573.841,102.692,6799980
205,8,Switzerland,12/31/1992,1992,7549.99,57451.5,70970.2,12.8136,5463.88,389.478,102.576,6875360
206,8,Switzerland,12/31/1993,1993,7525.96,57493.4,71276.4,30.1981,5674.21,453.209,99.3471,6938260
207,8,Switzerland,12/31/1994,1994,7464.23,59953.8,73788.7,73.2558,5705.99,485.083,106.374,6993800
208,8,Switzerland,12/31/1995,1995,7367.1,59366.2,73120.5,135.76,5583.88,532.349,135.186,7040690
209,8,Switzerland,12/31/1996,1996,7375.66,63302.8,77088,226.857,5596.06,469.717,116.875,7071850
210,8,Switzerland,12/31/1997,1997,7305.87,58212.6,72084.3,371.931,5600.59,433.749,159.595,7088910
211,8,Switzerland,12/31/1998,1998,7198.35,58696.7,72549.4,483.443,5638.95,420.811,111.219,7110000
212,8,Switzerland,12/31/1999,1999,6998.62,55820.2,69454.6,638.96,5421.42,454.245,121.214,7143990
213,8,Switzerland,12/31/2000,2000,6833.16,54684.4,68114.6,769.641,5332.71,375.932,118.778,7184250
214,8,Switzerland,12/31/2001,2001,6760.42,55617.1,68934.3,851.955,5213.17,368.891,122.775,7229850
215,8,Switzerland,12/31/2002,2002,6513.63,56572.5,69642.1,934.621,5094.19,407.537,119.6,7284750
216,8,Switzerland,12/31/2003,2003,6303.88,57160.6,70017.2,1003.37,5059.41,404.866,85.1291,7339000
217,8,Switzerland,12/31/2004,2004,6330.35,56475.9,69455.1,1085.13,5068.02,401.046,94.6888,7389620
218,8,Switzerland,12/31/2005,2005,6140.52,53852.9,66624,1110.2,4962.56,406.312,151.591,7437120
219,8,Switzerland,12/31/2006,2006,6027.05,53674.3,66247.4,1134.96,4906.28,392.162,112.637,7483930
220,8,Switzerland,12/31/2007,2007,5765.06,52940.9,65129.2,1140.47,4745.24,400.114,137.378,7551120
221,8,Switzerland,12/31/2008,2008,5492.78,50856,62753.4,1155.93,4825.64,350.235,72.8533,7647680
222,8,Switzerland,12/31/2009,2009,5338.21,47231.1,58496.8,1154.25,4654.49,48.6807,70.0117,7743830
223,8,Switzerland,12/31/2010,2010,5216.54,53042.2,64467.3,1133.81,4823.49,187.79,63.4558,7824910
224,8,Switzerland,12/31/2011,2011,5066,49166.9,60131.5,1105.94,4522.11,215.08,55.4394,7912400
225,8,Switzerland,12/31/2012,2012,4899.56,46692,57294.3,1087.92,4483,78.6772,53.1315,7996860
226,8,Switzerland,12/31/2013,2013,4828.16,45086.3,55607.7,1076.73,4523.21,51.2239,42.0584,8089350
227,8,Switzerland,12/31/2014,2014,4701.77,43337.6,53846.4,1102.58,4576.55,82.024,45.8786,8188650
228,8,Switzerland,12/31/2015,2015,4595.54,43336.8,53739.2,1120.85,4597.77,35.1313,53.1361,8282400
229,8,Switzerland,12/31/2016,2016,4510.99,42972.6,53285.9,1137,4576.74,31.1768,57.4633,8373340
230,8,Switzerland,12/31/2017,2017,4470.49,42306.8,52715,1098.05,4757.28,36.5779,45.8109,8451840
231,8,Switzerland,12/31/2018,2018,4380.55,41766.2,51779.2,1034.9,4503.64,61.8697,32.0988,8514330
232,8,Turkey,12/31/1990,1990,6044.12,44154.4,53778.9,0.0247812,3326.81,116.515,137.006,53921800
233,8,Turkey,12/31/1991,1991,5973.04,46133.8,55658.5,1.50874,3312.4,98.5051,139.206,54840600
234,8,Turkey,12/31/1992,1992,5890.17,46009.7,55396.1,15.5519,3258.71,80.6073,141.393,55748900
235,8,Turkey,12/31/1993,1993,5780.85,43601,52921.3,32.538,3351.65,34.695,120.535,56653800
236,8,Turkey,12/31/1994,1994,5729.92,42675.9,51914.2,80.1656,3300.5,20.8639,106.887,57564200
237,8,Turkey,12/31/1995,1995,5729.32,43412.8,52829.7,243.757,3333.12,17.4821,93.2343,58486500
238,8,Turkey,12/31/1996,1996,5668.31,44098.8,53432.4,295.943,3258.8,20.4072,90.0722,59423300
239,8,Turkey,12/31/1997,1997,5519.48,43037.3,52303.1,360.312,3240.39,20.9618,124.661,60372600
240,8,Turkey,12/31/1998,1998,5448.4,44614.8,53869,456.057,3173.38,23.5733,152.819,61329700
241,8,Turkey,12/31/1999,1999,5362.23,44445.8,53658.5,533.349,3144.79,32.1333,140.12,62287400
242,8,Turkey,12/31/2000,2000,5306.61,43617.6,53080.7,635.959,3307.49,60.9219,152.119,63240200
243,8,Turkey,12/31/2001,2001,5347.72,45082.4,54601.1,735.875,3247.34,36.7163,151.024,64192200
244,8,Turkey,12/31/2002,2002,5303.14,43467.6,53068.4,826.578,3274.36,35.8554,160.856,65145400
245,8,Turkey,12/31/2003,2003,5222.95,44651.9,54095.8,910.312,3077.79,66.7918,166.035,66089400
246,8,Turkey,12/31/2004,2004,5188.63,45236.4,54698.1,1009.62,3004.85,68.9313,189.66,67010900
247,8,Turkey,12/31/2005,2005,5203.77,45788.2,55414.4,1047.96,3116.87,50.254,207.317,67903500
248,8,Turkey,12/31/2006,2006,5220.26,45373.7,55022.4,1159.59,3009.67,62.2703,196.935,68756800
249,8,Turkey,12/31/2007,2007,5202.42,43368.4,53159.3,1252.75,3105.14,52.3957,178.267,69581800
250,8,Turkey,12/31/2008,2008,5272.99,44714.3,54524.8,1274.66,2979.06,44.6332,239.048,70418600
251,8,Turkey,12/31/2009,2009,5180.89,43534.7,53082.1,1272.06,2868.55,35.3749,182.874,71321400
252,8,Turkey,12/31/2010,2010,5154.27,45049.6,54726.7,1308.25,3012.86,37.7957,151.31,72327000
253,8,Turkey,12/31/2011,2011,5099.15,40985.5,50615.8,1380.05,2941.79,36.0616,163.935,73443900
254,8,Turkey,12/31/2012,2012,5070.77,42254.7,52037.4,1453.07,3001.28,38.787,218.241,74653000
255,8,Turkey,12/31/2013,2013,5006.73,43185.8,52816.5,1432.16,2901.27,27.7505,262.605,75928600
256,8,Turkey,12/31/2014,2014,5003.62,39234.4,48877.4,1468.95,2881.23,22.5453,266.001,77231900
